epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,156,,,,0.6140589118003845,0.6234926581382751,0.44855770468711853
0,156,0.5767156481742859,0.6188391447067261,0.41512465476989746,,,
1,313,,,,0.6174338459968567,0.6271486282348633,0.4482596218585968
1,313,0.6737611293792725,0.6816424131393433,0.5146074891090393,,,
2,470,,,,0.6133586168289185,0.6138064861297607,0.44449561834335327
2,470,0.6931948065757751,0.6992083787918091,0.5366806983947754,,,
3,627,,,,0.6185440421104431,0.6439306139945984,0.4535621702671051
3,627,0.7003383040428162,0.7059782147407532,0.5451326966285706,,,
4,784,,,,0.6285139322280884,0.6750081181526184,0.4670998156070709
4,784,0.7122994065284729,0.7167477011680603,0.5601192116737366,,,
5,941,,,,0.6231532692909241,0.6408058404922485,0.46053647994995117
5,941,0.7234573364257812,0.7240905165672302,0.5719988346099854,,,
6,1098,,,,0.6402588486671448,0.6603156924247742,0.4763599634170532
6,1098,0.7303259372711182,0.7318440675735474,0.581561267375946,,,
7,1255,,,,0.6370197534561157,0.6688225269317627,0.4753108024597168
7,1255,0.7418608665466309,0.7404937148094177,0.5946270823478699,,,
8,1412,,,,0.6541880965232849,0.6731705665588379,0.4915539622306824
8,1412,0.7361788153648376,0.7386816740036011,0.5884554386138916,,,
9,1569,,,,0.6273857355117798,0.6492739319801331,0.4660765528678894
9,1569,0.7436304092407227,0.7464948296546936,0.5971928238868713,,,
10,1726,,,,0.6528172492980957,0.6703031063079834,0.4907601475715637
10,1726,0.7493982315063477,0.7500274181365967,0.6044099926948547,,,
11,1883,,,,0.6390042304992676,0.6769976615905762,0.4804050028324127
11,1883,0.750734806060791,0.749739408493042,0.605644166469574,,,
12,2040,,,,0.603493332862854,0.6336168050765991,0.44956541061401367
12,2040,0.7607187628746033,0.75870281457901,0.6179169416427612,,,
13,2197,,,,0.620680570602417,0.6479339003562927,0.46357661485671997
13,2197,0.7592850923538208,0.757194995880127,0.6169076561927795,,,
14,2354,,,,0.6469839215278625,0.6762843132019043,0.4866849482059479
14,2354,0.765947699546814,0.766569197177887,0.625507116317749,,,
15,2511,,,,0.6478521227836609,0.6763522624969482,0.4872373938560486
15,2511,0.7672592997550964,0.7665209770202637,0.6262429356575012,,,
16,2668,,,,0.6428202986717224,0.6736122965812683,0.48506060242652893
16,2668,0.7739093899726868,0.7707927227020264,0.6347885727882385,,,
17,2825,,,,0.6437786221504211,0.6719974279403687,0.48428139090538025
17,2825,0.7763949632644653,0.7760938405990601,0.6390348076820374,,,
18,2982,,,,0.6576902866363525,0.6795802116394043,0.4964495599269867
18,2982,0.7805593609809875,0.7774438261985779,0.6438232064247131,,,
19,3139,,,,0.6460046768188477,0.672605037689209,0.48522257804870605
19,3139,0.7863207459449768,0.78481525182724,0.6516692042350769,,,
20,3296,,,,0.6499741673469543,0.6814695000648499,0.4905272424221039
20,3296,0.7820234894752502,0.7797379493713379,0.6460647583007812,,,
21,3453,,,,0.6499078273773193,0.6771512031555176,0.4912164807319641
21,3453,0.7898542881011963,0.7868967056274414,0.6565792560577393,,,
22,3610,,,,0.6464526653289795,0.6780462861061096,0.48773398995399475
22,3610,0.7932841181755066,0.7900739908218384,0.6604376435279846,,,
23,3767,,,,0.653001606464386,0.6756701469421387,0.4929579794406891
23,3767,0.7908254861831665,0.7868384122848511,0.6570746898651123,,,
24,3924,,,,0.6527442336082458,0.676561176776886,0.4927196800708771
24,3924,0.7938784956932068,0.7909461259841919,0.6616873145103455,,,
25,4081,,,,0.6431970000267029,0.6761965751647949,0.4855213761329651
25,4081,0.7977976202964783,0.7930489182472229,0.6670873761177063,,,
26,4238,,,,0.6458497047424316,0.6725578904151917,0.4862802028656006
26,4238,0.7903238534927368,0.7882006168365479,0.6567683219909668,,,
27,4395,,,,0.6413193941116333,0.6731938719749451,0.482042521238327
27,4395,0.7976049780845642,0.7918398976325989,0.6661955714225769,,,
28,4552,,,,0.6402994394302368,0.6712446808815002,0.4807569682598114
28,4552,0.7967106699943542,0.7919042706489563,0.6650128960609436,,,
29,4709,,,,0.6405288577079773,0.6722444295883179,0.4805785119533539
29,4709,0.7972857356071472,0.7939648628234863,0.6661603450775146,,,
