epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,218,,,,0.671346127986908,0.7001323103904724,0.5102136135101318
0,218,0.5532543063163757,0.6239925026893616,0.39817991852760315,,,
1,437,,,,0.7089406847953796,0.7340037226676941,0.555303692817688
1,437,0.6703535914421082,0.6901112198829651,0.5103573203086853,,,
2,656,,,,0.700677216053009,0.7220540046691895,0.5440150499343872
2,656,0.6861174702644348,0.6988919973373413,0.5279309153556824,,,
3,875,,,,0.7148368954658508,0.7350042462348938,0.5617131590843201
3,875,0.7013943195343018,0.7123376727104187,0.5449104905128479,,,
4,1094,,,,0.6927075386047363,0.7208046317100525,0.5369993448257446
4,1094,0.7089610695838928,0.7206954956054688,0.5551345944404602,,,
5,1313,,,,0.7208491563796997,0.7382152080535889,0.5692542791366577
5,1313,0.7159744501113892,0.7294493317604065,0.5636700987815857,,,
6,1532,,,,0.7215937972068787,0.7403590679168701,0.5708191394805908
6,1532,0.7243117094039917,0.735171914100647,0.5728322267532349,,,
7,1751,,,,0.7296357750892639,0.7489380836486816,0.5802275538444519
7,1751,0.7267372012138367,0.7378031611442566,0.5763225555419922,,,
8,1970,,,,0.7379754781723022,0.7533078193664551,0.5884203314781189
8,1970,0.7330590486526489,0.7432886958122253,0.5837869644165039,,,
9,2189,,,,0.7289553880691528,0.7491381764411926,0.5804969668388367
9,2189,0.7364597916603088,0.745921790599823,0.5885785222053528,,,
10,2408,,,,0.7292579412460327,0.7505053877830505,0.5798354744911194
10,2408,0.7418442368507385,0.7494627237319946,0.5946715474128723,,,
11,2627,,,,0.7337687015533447,0.7501583695411682,0.5851138830184937
11,2627,0.7435304522514343,0.750762403011322,0.5961441397666931,,,
